efta_number,page_number,inspection_type,doc_type,severity,description,flags,timestamp
EFTA00001932,0,partial_redaction,handwritten letter to Epstein,critical,"Handwritten decorative letter 'Dear Jeffrey' thanking Epstein for holiday gifts including a necklace, describing trips to Virgin Islands, West Palm Beach, Las Vegas, New Mexico with family. Mentions staying at Epstein's Manhattan apartment and flying out to New York. Original shows writer's sister mentioned by context and family details. Current version adds multiple large black box redactions covering: location names (Arizona), family references (sister), city names in trip descriptions, and the signature/name at bottom. This obscures the identity of the letter writer.",agent_batch_002,1772672472
EFTA00005091,34,full_page_blackout,photo_contact_sheet,high,"Puerto Rico 05 photo contact sheet — 16 thumbnail images labeled Picture jl 001.jpg through 016.jpg. Original: intimate/explicit photos of woman body (bikini/nude) in images 001-012, sunset/landscape photos in 013-016. Credited to photo jean luc. Current: ALL body photos (001-012) completely blacked out with solid black rectangles. Sunset photos (013-016) partially preserved but some also blacked. This is a victim privacy redaction — the photos appear to be of an identifiable person in intimate situations.","photos,intimate_images,victim_privacy,puerto_rico,jean_luc,CRITICAL_redaction",1772668225
EFTA00016904,0,name_redaction,email,medium,Current version applies redactions over 'Eva Dubin' name in From field and within email body; original showed 'Eva Dubin' name visible. Also redacts location details.,,1772695986
EFTA00020462,0,name_redaction,fbi_report,medium,"Current version applies expanded black bars over the tip submitter identifying details. FBI National Threat Operations Center tip report about Epstein and Maxwell has submitter name, email address, and some biographical details more heavily redacted.",,1772695986
EFTA00029042,0,partial_redaction,email,medium,"Email RE: Epstein FFW-DOCS.FID6003375 from October 2020. Original shows some visible names and addresses. Current version adds redaction over Message-Id field. BCC to USAHUB-USAJournal111, Jill Greenfield in CC visible in both.",agent_batch_006,1772672472
EFTA00038760,1,partial_redaction,email,medium,Email from Karyna Shuliak re translation quote. Original shows email addresses partially visible in CC and header fields. Current version adds black box redactions over email addresses in CC field and some contact info at bottom (address lines). Translation service details and pricing ($700) remain visible.,agent_batch_006,1772672472
EFTA00038778,0,name_redaction,email,medium,Current version redacts the To field name/email more extensively. The email about Anastasiya Kopets photos and Russian girl from Moscow has header email addresses newly covered with black bars.,,1772695986
EFTA00038803,1,name_redaction,email,medium,"Current version adds new black bar redactions over portions of text that were visible in original. Email thread discussing modeling and girls from Russia, with names and identifying details now more heavily redacted.",,1772695986
EFTA00038817,0,partial_redaction,email (Jill Greenfield/Epstein investigation),high,"Email from UK lawyer Jill Greenfield (fieldfisher.com) to NYPD/FBI detective about Epstein investigation victim representation. Original shows detective name, FBI CC list including Young Amanda Nicole (NY FBI), Rossmiller Alexander (USANYS). Current version redacts detective name and some CC recipients while preserving Greenfield's name and the substance of the cooperation discussion.",agent_batch_002,1772672472
EFTA00038950,1,partial_redaction,email,medium,Email page with confidentiality notices and legal disclaimers. Current version shows slightly expanded redaction boxes over email addresses in the disclaimer/forwarding sections.,,1772696995
EFTA00040533,0,name_redaction,email,medium,"Current version redacts the To recipient name and email address with black bars, and redacts other personal details. Original showed recipient name and email visibly in the Jill Greenfield / fieldFisher legal correspondence about Epstein property matters.",,1772695986
EFTA00041963,794,minor_change,email_metadata,low,GroupWise email metadata properties table. Subject: Fred Suicide Watch/Psych Observation Update from Shirley V. Skipper-Scott. Both versions show identical metadata fields. Minor rendering differences only.,agent_batch_001,1772672472
EFTA00042963,652,minor_change,email_metadata,low,GroupWise email metadata properties table. Subject: Fred Suicide Watch/Psych Observation Update. Sender: Shirley V. Skipper-Scott. Both versions show identical metadata. Minor rendering differences only.,agent_batch_001,1772672472
EFTA00043963,269,minor_change,email_metadata,low,GroupWise/email metadata properties table. Subject: Fred counsel having difficulty meeting with client. Both versions show identical metadata fields. Sender is Shirley V. Skipper-Scott (MCC staff). Minor rendering differences only.,agent_batch_001,1772672472
EFTA00044963,64,partial_redaction,legal_email,high,"Email from Bruce Barket (attorney) about Epstein's conditions in SHU at MCC (July 2019). Original shows full CC list with email addresses for attorneys (Swergold, Jason USANYS, Aida Leisenring). Current version has black bars over some CC addresses. Content about cell conditions, confiscated legal work, and attorney-client privilege materials seized is substantively identical.",agent_batch_003,1772672472
EFTA00045963,9,minor_change,email_metadata,low,Email metadata properties table. Both versions appear nearly identical with same structured data fields. Minor rendering differences only.,agent_batch_001,1772672472
EFTA00046963,923,no_visible_change,investigation_report,none,"Inmate roster from MCC New York dated 08-12-2019 showing 7 inmates including one with ""SUICIDE OR"" notation; both versions appear identical with same pre-existing name redactions.",,1772713228
EFTA00047963,574,partial_redaction,,medium,New black redaction bars added over cooperator passage. Word cooperators blacked out in two locations. Efrain Reyes proffer/threatened/extorted passage redacted.,"BOP,cooperator,proffer,redaction_bars",1772666661
EFTA00047963,836,partial_redaction,,medium,Same Reyes cooperator passage redacted with black bars on page 836. Also officer names redacted in Section 4 Documentation Accuracy.,"BOP,cooperator,proffer,officer_names,redaction_bars",1772666661
EFTA00047963,508,partial_redaction,,medium,"Epstein DOB 01/20/1953 removed from Date of Birth field on suicide risk assessment. Field label remains, value blank.","BOP,DOB,suicide_risk_assessment",1772666661
EFTA00059443,55,minor_change,dental_record,low,"BOP (Federal Bureau of Prisons) A&O Dental Examination form for Epstein Jeffrey E., Register 76318-054, MCC New York, dated 7-26-19. Shows dental chart, gingival recession observed. Original and current are virtually identical. Both show same dental findings. EFTA number differs (EFTA00059498 in orig vs EFTA00059498). Minor reprocessing.",agent_batch_000,1772672472
EFTA00059564,1,minor_change,mcc_jail_log,low,"MCC handwritten jail log for Epstein #76318-054 dated 7-24-2019. Records his activities: shower at 8:40pm, psych observation checks, talking to officers, sleeping observations. Both versions appear virtually identical. Minor rendering differences only.",agent_batch_001,1772672472
EFTA00062276,5,no_visible_change,investigation_report,none,Computer forensic activity log with browser history dated 8/30/2019. Both versions appear identical showing same timestamped web browsing entries.,,1772695399
